Time Stam+A1:E1p,Location,Weight,Biomass,COMMENTS
11/8/25 13:32,K18L09,0.0653,3,"1 UNKNOWN SPIDER, 1 UNKNOWN SPIDER, 1 ZOPH SUBC"
11/8/25 13:41,K18L02 D,0.0012,1,1 TETR SOLI
11/8/25 13:35,K18L07,0.0561,50,"47 TETR SOLI, 2 SCIO CURS, 1 LEAF HOPPER"
11/8/25 13:38,K18L05,0.0013,2,"1 UNKNOWN ANT, 1 TETR SOLI"
11/8/25 13:39,K18L04 D,0.0182,5,"2 OCYM BARB, 2 TETR SOLI, 1 HODO MOSS"
11/8/25 13:36,K18L06 D,0.0163,5,"4 TETR SOLI, 1 SCIO CURS"
11/8/25 13:40,K18L03,0.0020,1,1 TETR SOLI
11/8/25 13:30,K18L10 D,0.0008,1,1 UNKOWN SPIDER
11/8/25 13:33,K18L08 D,0.0037,3,"1 ZOPJ ACAR, 1 TETR SOLI, 1 OCYM BARB"
11/8/25 13:42,K18L01,0.0142,6,"1 TETR SERI, 4 TETR SOLI, 1 UNKNOWN SPIDER"
11/8/25 12:22,P15L01,0.0103,2,"1 CAMP FULV, 1 TETR SOLI"
11/8/25 12:16,P15L05,0,0,
11/8/25 12:13,P15L08 D,0.003,1,1 UNKOWN SPIDER
11/8/25 12:18,P15L04 D,0,0,
11/8/25 12:14,P15L07,0.1123,1,1 ZOPH SUBC
11/8/25 12:12,P15L09,0.0031,1,1 TETR SOLI
11/8/25 12:21,P15L02 D,0.00234,2,"1 TETR SOLI, UNKOWN HEMIPTERA"
11/8/25 12:19,P15L03,0.0037,2,"1 UNKOWN SPIDER, 1 TETR SOLI"
11/8/25 12:10,P15L10 D,0.0032,2,2 PHEI TENU
11/8/25 12:15,P15L06 D,0.0051,1,1 UNKNOWN SPIDER
11/8/25 21:59,K18L01,0,0,
11/8/25 21:57,K18L03,0,0,
11/8/25 21:56,K18L04 D,0,0,
11/8/25 21:58,K18L02 D,0,0,
11/8/25 21:49,K18L09,0,0,
11/8/25 21:55,K18L05,0.0032,1,1 UNKNOWN SPIDER
11/8/25 21:48,K18L10 D,0,0,
11/8/25 21:50,K18L08 D,0,0,
11/8/25 21:53,K18L06 D,0,0,
11/8/25 21:52,K18L07,0,0,
11/8/25 15:29,H15L05,0.0022,1,1 OCYM BARB
11/8/25 15:22,H15L10 D,0.0024,1,1 OCYM BARB
11/8/25 15:31,H15L03,0,0,
11/8/25 15:30,H15L04 D,0.0013,1,1 SCIO CURS
11/8/25 15:25,H15L08 D,0.0145,2,1 ZOPH ACAR 1 CAMP FULV
11/8/25 15:32,H15L02 D,0.0026,2,2 OCYM BARB
11/8/25 13:27,H15L06 D,0,0,
11/8/25 15:23,H15L09,0.0075,1,1 UNKNOWN ANT-LION
11/8/25 15:26,H15L07,0.0036,1,1 ZOPH SUBC
11/8/25 15:33,H15L01,0,0,
12/8/25 07:00,D15L10 D,0,0,
12/8/25 07:07,D15L05,0.0675,1,1 UNKNOWN BEETLE (1 OF 3)
12/8/25 07:12,D15L02 D,0,0,
12/8/25 07:03,D15L07,0,0,
12/8/25 07:14,D15L01,0,0,
12/8/25 07:02,D15L08 D,0.1705,1,1 UNKNOWN BEETLE (2 OF 3)
12/8/25 07:01,D15L09,0,0,
12/8/25 07:09,D15L04 D,0,0,
12/8/20 07:05,D15L06 D,0.5728,2,"1 UNKNOWN HYMENOPTERA CATEPPILAR, 1 UNKNOWN BEETLE (3 OF 3)"
12/8/25 07:11,D15L03,0,0,
11/8/25 11:07,D15L05,0,0,
11/8/25 11:07,D15L03,0,0,
11/8/25 11:06,D15L06 D,0,0,
11/8/25 11:03,D15L09,0,0,
11/8/25 11:05,D15L07,0,0,
11/8/25 11:04,D15L08 D,0,0,
11/8/25 11:08,D15L04 D,0,0,
11/8/25 11:01,D15L10 D,0.0025,1,1 UNKOWN FLY
11/8/25 11:10,D15L02 D,0,0,
11/8/25 11:12,D15L01,0,0,
11/8/25 19:02,D15L09,0,0,
11/8/25 19:04,D15L07,0,0,
11/8/25 19:01,D15L10 D,0.0094,1,1 SCIO CURS
11/8/25 19:12,D15L01,0,0,
11/8/25 19:10,D15L03,0,0,
11/8/25 19:00,D15L05,0,0,
11/8/25 19:03,D15L08 D,0.0004,3,3 TETR SOLI
11/8/25 19:09,D15L04 D,0,0,
11/8/25 19:11,D15L02 D,0,0,
11/8/25 19:05,D15L06 D,0,0,
11/8/25 16:23,P15L03,0.0811,1,1 ZOPH SUBC
11/8/25 19:19,P15L06 D,0.0022,2,2  TETRA SERI
11/8/25 16:20,P15L05,0.0095,2,"1 MEGA ANALI, TETR SERI"
11/8/25 16:15,P15L10 D,0,0,
11/8/25 16:17,P15L08 D,0.0095,3,"1 TETR SER, 1 CAMP FULV, 1 ZOPH ACAR"
11/8/25 16:18,P15L07,0,0,
11/8/25 16:16,P15L09,0.0023,2,"1 TETR SOLI, 1 TETR SERI"
11/8/25 16:21,P15L04 D,0.0005,1,1 OCYM BARB
11/8/25 16:24,P15L02 D,0.0008,1,1 CAMP FULV
11/8/25 16:25,P15L01,0.0009,1,1 OCYM BARB
11/8/25 11:21,H15L07,0,0,
11/8/25 11:20,H15L08 D,0,0,
11/8/25 11:19,H15L09,0.0032,1,1 UNKNOWN WINGED HYMENOPTERA
11/8/25 11:22,H15L05,0,0,
11/8/25 11:18,H15L10 D,0,0,
11/8/25 11:27,H15L02 D,0,0,
11/8/25 11:26,H15L03,0.0042,4,4 PHEI TENU
11/8/25 11:28,H15L01,0,0,
11/8/25 11:25,H15L04 D,0.0008,2,"1 MESS CAPE, 1 UNKNOWN FLY"
11/8/25 11:22,H15L06 D,0,0,
11/8/25 17:40,K18L05,0,0,
11/8/25 17:44,K18L02 D,0,0,
11/8/25 17:45,K18L01,0.0025,2,2 PHEI TENU
11/8/25 17:36,K18L08 D,0.6526,1,1 GRYLLUS BIMACULATUS
11/8/25 17:43,K18L03,0.0037,4,4 TETR SOLI
11/8/25 17:41,K18L04 D,0.0087,2,"1 HODO MOSS, 1 OCYM BARB"
11/8/25 17:34,K18L10 D,0,0,
11/8/25 17:37,K18L07,0.0050,5,5 TETR SOLI
11/8/25 17:39,K18L06 D,0.011,1,1 OCYM BARB
11/8/25 17:35,K18L09,0,0,
11/8/25 21:05,Q17L08 D,0,0,
11/8/25 21:09,Q17L05,0.0087,3,"1 HODO MOSS, 1 TETR SOLI, 1 UNKNOWN BEETLE (1 OF 6)"
11/8/25 21:12,Q17L02 D,0,0,
11/8/25 21:11,Q17L03,0.0017,1,1 TETR SOLI
11/8/25 21:10,Q17L04 D,0.0126,3,"1 CAMP MACU, 1 UNKNOWN ANT, 1 UNKNOWN BEETLE (2 OF 6)"
11/8/25 21:03,Q17L10 D,0,0,
11/8/25 21:06,Q17L07,0.0155,2,"1 MEGA ANALI, 1 UNKNOWN SPIDER"
11/8/25 21:04,Q17L09,0,0,
11/8/25 21:14,Q17L01,0.0115,1,1 CAMP MACU
11/8/25 21:08,Q17L06 D,0.0145,2,"1 UNKNOWN SPIDER, 1 UNKNOWN BEETLE (3 OF 6)"
12/8/25 08:49,P15L02 D,0,0,
12/8/25 08:45,P15L04 D,0,0,
12/8/25 08:47,P15L03,0,0,
12/8/25 08:40,P15L07,0,0,
12/8/25 08:43,P15L05,0,0,
12/8/25 08:39,P15L08 D,0,0,
12/8/25 08:37,P15L10 D,0,0,
12/8/25 08:42,P15L06 D,0,0,
12/8/25 08:38,P15L09,0,0,
12/8/25 08:50,P15L01,0,0,
12/8/25 09:38,Q17L05,0.0108,1,1 UNKNOWN BEETLE (4 of 6)
12/8/25 09:35,Q17L08 D,0.0004,1,1 TETR SOLI
12/8/25 09:37,Q17L07,0.0125,1,1 UNKNOWN BEETLE (5 of 6)
12/8/25 09:40,Q17L05,0.0016,1,1 CAMP MACU
12/8/25 09:45,Q17L03,0,0,
12/8/25 09:43,Q17L04 D,0.0058,2,"1 UNKNOWN SPIDER, 1 TETR SOLI"
12/8/25 09:48,Q17L01,0,0,
12/8/25 09:46,Q17L02 D,0.0004,2,"1 TETR SOLI, 1 UNKNOWN MITE"
12/8/25 09:36,Q17L10 D,0.0326,1,1 UNKNOWN SPIDER
12/8/25 09:34,Q17L09,0,0,
11/8/25 15:07,D15L06 D,0,0,
11/8/25 15:03,D15L10 D,0.0305,1,1 ZOPH SUBC
11/8/25 15:09,D15L04 D,0,0,
11/8/25 15:05,D15L08 D,0,0,
11/8/25 15:04,D15L09,0.0042,1,1 UNKNOWN SPIDER
11/8/25 15:06,D15L07,0,0,
11/8/25 15:11,D15L03,0,0,
11/8/25 15:13,D15L01,0.0042,1,1 ZOPH ACAR
11/8/25 15:08,D15L05,0.0005,1,1 UNKNOWN BEETLE (SMALL BROWN & SHINY)
11/8/25 15:12,D15L02 D,0.0007,1,1 UNKNOWN HEMIPTERA
11/8/25 12:55,Q17L06 D,0.0003,1,1 PHEI TENU
11/8/25 12:51,Q17L09,0.0088,1,1 CAMP FULV
11/8/25 12:58,Q17L04 D,0.0118,8,"1 OCYM BARB, 6 TETR SOLI, 1 CAMP FLUV"
11/8/25 12:52,Q17L08 D,0.0007,2,2 TETR SOLI
11/8/25 12:59,Q17L03,0.1588,5,"1 UNKNOWN SPIDER, 2 ZOPH SUBC, 1 ZOPH ACAR, 1 TETR SOLI"
11/8/25 12:54,Q17L07,0.0057,2,"1 OCYM BARB, 1 CAMP FLUV"
11/8/25 13:00,Q17L02 D,0.0002,2,2 TETR SOLI
11/8/25 13:01,Q17L01,0.0144,2,"1 UNKNOWN SPIDER,1 MEGA ANALI"
11/8/25 12:50,Q17L10 D,0,0,
11/8/25 12:50,Q17L05,0.0527,2,"1 ZOPH SUBC, 1 SCIO CURS, 4 TETR SOLI"
12/8/25 10:44,K18L03,0,0,
12/8/25 10:45,K18L02 D,0,0,
12/8/25 10:47,K18L01,0.0024,1,1 TETR SOLI
12/8/25 10:38,K18L06 D,0,0,
12/8/25 10:35,K18L08 D ,0.0056,1,1 UNKNOWN SPIDER
12/8/25 10:40,K18L05,0,0,
12/8/25 10:33,K18L10 D,0.0085,1,1 CAMP MACU
12/8/25 10:42,K18L04 D,0.0010,1,1 TETR SOLI
12/8/25 10:37,K18L07,0.0024,6,6 TETR SOLI
12/8/25 10:34,K18L09,0.0005,1,1 OCYM BARB
11/8/25 19:21,H15L08 D,0,0,
11/8/25 19:18,H15L10 D,0.0050,1,1 UNKNOWN SPIDER
11/8/25 19:27,H15L03,0,0,
11/8/25 19:24,H15L05,0,0,
11/8/25 19:20,H15L09,0.0032,1,1 CREM MELA
11/8/25 19:25,H15L06 D,0,0,
11/8/25 19:22,H15L07,0,0,
11/8/25 19:26,H15L04 D,0.0033,1,1 OCYM BARB
11/8/25 19:29,H15L01,0,0,
11/8/25 19:28,H15L02 D,0,0,
11/8/25 16:52,Q17L10 D,0.0444,1,1 ZOPH SUBC
11/8/25 16:54,Q17L08 D,0.1326,3,"1 OCYM BARB, 2 ZOPH SUBC"
11/8/25 16:59,Q17L04 D,0.0020,2,2 TETR SERI
11/8/25 17:00,Q17L03,0.3129,7,"5 ZOPH SUBC, 2 CAMP FULV, "
11/8/25 16:58,Q17L05,0.1079,8,"2 ZOPH SUBC, 1 SCIO CURS, 2 CAMP FULV, 3 TETR SOLI"
11/8/25 16:57,Q17L06 D,0.0005,3,3 TETR SOLI
11/8/25 16:55,Q17L09,0.0006,1,1 TETR SOLI
11/8/25 17:01,Q17L02 D,0.0630,3,"1 ZOPH SUBC, 2 TETR SOLI"
11/8/25 17:02,Q17L01,0.0259,3,"1 TETR SOLI, 2 CAMP FULV"
11/8/25 16:56,Q17L07,0.3800,10,"5 ZOPH SUBC, 2 CAMP FULV, 1 OCYM BARB, 2 TETR PERI, "
12/8/25 07:39,H15L02 D,0,0,
12/8/25 07:37,H15L04 D,0.0092,1,1 UNKNOWN BEETLE (6 OF 6)
12/8/25 07:29,H15L08 D,0,0,
12/8/25 07:33,H15L06 D,0,0,
12/8/25 07:22,H15L10 D,0.1445,1,1 UNKNOWN TENEBRIONID BEETLE
12/8/25 07:41,H15L01,0.0302,1,1 UNKNOWN SPIDER
12/8/25 07:34,H15L05,0.0099,1,1 UNKNOWN SPIDER
12/8/25 07:37,H15L03,0,0,
12/8/25 07:31,H15L07,0,0,
12/8/25 07:24,H15L09,0,0,
11/8/25 20:20,P15L09,0,0,
11/8/25 20:22,P15L07,0,0,
11/8/25 20:25,P15L04 D,0,0,
11/8/25 20:21,P15L08 D,0,0,
11/8/25 20:24,P15L05,0.0025,2,"1 MESS CAPE, TETR PERI"
11/8/25 20:29,P15L01,0.0026,1,1 SMALL ORANGE/BROWN ANT-LION
11/8/25 20:23,P15L06 D,0.0014,1,1 MITE
11/8/25 20:27,P15L03,0,0,
11/8/25 20:19,P15L10 D,0,0,
11/8/25 20:28,P15L02 D,0,0,